"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2018"	"2018"	193	480213	40.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"1999"	"1999"	114	298725	38.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2000"	"2000"	123	313090	39.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2001"	"2001"	145	319906	45.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2002"	"2002"	97	338126	28.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2003"	"2003"	126	343924	36.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2004"	"2004"	143	353030	40.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2005"	"2005"	135	358645	37.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2006"	"2006"	151	369282	40.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2007"	"2007"	154	394732	39.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2008"	"2008"	166	401849	41.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2009"	"2009"	157	409018	38.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2010"	"2010"	145	410993	35.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2011"	"2011"	141	402583	35.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2012"	"2012"	134	412164	32.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2013"	"2013"	148	409844	36.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2014"	"2014"	165	415162	39.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2015"	"2015"	177	423595	41.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2016"	"2016"	187	430751	43.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2017"	"2017"	224	462436	48.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"27 years"	"27"	"2018"	"2018"	204	474170	43.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"1999"	"1999"	107	306633	34.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2000"	"2000"	113	310841	36.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2001"	"2001"	137	322998	42.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2002"	"2002"	127	329135	38.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2003"	"2003"	134	346617	38.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2004"	"2004"	135	351806	38.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2005"	"2005"	140	360856	38.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2006"	"2006"	120	366531	32.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2007"	"2007"	156	375825	41.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2008"	"2008"	146	400215	36.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2009"	"2009"	156	406114	38.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2010"	"2010"	140	410130	34.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2011"	"2011"	135	412378	32.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2012"	"2012"	155	404308	38.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2013"	"2013"	151	414145	36.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2014"	"2014"	165	416723	39.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2015"	"2015"	158	418911	37.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2016"	"2016"	180	425232	42.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2017"	"2017"	191	437688	43.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"28 years"	"28"	"2018"	"2018"	216	465198	46.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"1999"	"1999"	123	300686	40.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2000"	"2000"	135	314637	42.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2001"	"2001"	133	322887	41.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2002"	"2002"	120	331260	36.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2003"	"2003"	139	336687	41.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2004"	"2004"	132	353822	37.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2005"	"2005"	147	359317	40.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2006"	"2006"	171	368396	46.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2007"	"2007"	151	373423	40.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2008"	"2008"	153	382413	40.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2009"	"2009"	173	406107	42.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2010"	"2010"	150	411737	36.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2011"	"2011"	160	416607	38.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2012"	"2012"	146	413830	35.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2013"	"2013"	140	406082	34.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2014"	"2014"	177	420994	42.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2015"	"2015"	154	420817	36.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2016"	"2016"	191	420341	45.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2017"	"2017"	195	432605	45.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"29 years"	"29"	"2018"	"2018"	233	440101	52.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"1999"	"1999"	142	303272	46.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2000"	"2000"	128	313550	40.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2001"	"2001"	149	325206	45.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2002"	"2002"	134	332377	40.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2003"	"2003"	133	341144	39.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2004"	"2004"	137	347157	39.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2005"	"2005"	135	365839	36.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2006"	"2006"	154	372525	41.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2007"	"2007"	144	382138	37.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2008"	"2008"	161	388055	41.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2009"	"2009"	164	397686	41.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2010"	"2010"	168	417803	40.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2011"	"2011"	163	412832	39.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2012"	"2012"	178	417860	42.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2013"	"2013"	191	415456	46.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2014"	"2014"	152	412932	36.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2015"	"2015"	212	425412	49.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2016"	"2016"	209	422201	49.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2017"	"2017"	219	428173	51.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"30 years"	"30"	"2018"	"2018"	248	434674	57.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"1999"	"1999"	132	280591	47.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2000"	"2000"	141	290236	48.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2001"	"2001"	151	322340	46.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2002"	"2002"	147	330294	44.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2003"	"2003"	147	335838	43.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2004"	"2004"	128	343221	37.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2005"	"2005"	164	348341	47.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2006"	"2006"	180	365735	49.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2007"	"2007"	157	370638	42.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2008"	"2008"	152	378731	40.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2009"	"2009"	164	382717	42.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2010"	"2010"	173	387603	44.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2011"	"2011"	177	422678	41.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2012"	"2012"	175	414188	42.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2013"	"2013"	194	419463	46.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2014"	"2014"	185	422712	43.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2015"	"2015"	193	417225	46.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2016"	"2016"	217	426550	50.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2017"	"2017"	221	429787	51.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"31 years"	"31"	"2018"	"2018"	227	429759	52.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"1999"	"1999"	154	284158	54.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2000"	"2000"	123	289038	42.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2001"	"2001"	160	302856	52.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2002"	"2002"	180	330413	54.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2003"	"2003"	156	338809	46.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2004"	"2004"	151	345012	43.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2005"	"2005"	167	353604	47.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2006"	"2006"	171	359831	47.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2007"	"2007"	186	377937	49.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2008"	"2008"	164	383792	42.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2009"	"2009"	172	392488	43.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2010"	"2010"	168	397018	42.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2011"	"2011"	162	396004	40.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2012"	"2012"	178	423812	42.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2013"	"2013"	176	415563	42.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2014"	"2014"	153	426805	35.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2015"	"2015"	233	426696	54.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2016"	"2016"	235	418074	56.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2017"	"2017"	250	433642	57.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"32 years"	"32"	"2018"	"2018"	234	430941	54.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"1999"	"1999"	157	275621	57.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2000"	"2000"	157	280682	55.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2001"	"2001"	175	298232	58.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2002"	"2002"	151	308638	48.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2003"	"2003"	166	335397	49.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2004"	"2004"	155	343113	45.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2005"	"2005"	159	349120	45.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2006"	"2006"	172	357442	48.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2007"	"2007"	172	362739	47.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2008"	"2008"	171	380221	45.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2009"	"2009"	215	385162	55.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2010"	"2010"	165	390880	42.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2011"	"2011"	172	395834	43.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2012"	"2012"	188	396633	47.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2013"	"2013"	206	424838	48.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2014"	"2014"	185	422677	43.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2015"	"2015"	223	430560	51.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2016"	"2016"	246	426985	57.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2017"	"2017"	241	424865	56.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"33 years"	"33"	"2018"	"2018"	241	434582	55.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"1999"	"1999"	157	279638	56.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2000"	"2000"	176	283331	62.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2001"	"2001"	156	289447	53.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2002"	"2002"	166	304156	54.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2003"	"2003"	178	314132	56.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2004"	"2004"	183	340659	53.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2005"	"2005"	166	348558	47.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2006"	"2006"	179	354574	50.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2007"	"2007"	191	362434	52.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2008"	"2008"	174	367494	47.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2009"	"2009"	178	384583	46.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2010"	"2010"	164	388129	42.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2011"	"2011"	205	395945	51.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2012"	"2012"	192	396033	48.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2013"	"2013"	213	397626	53.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2014"	"2014"	215	431723	49.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2015"	"2015"	249	426253	58.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2016"	"2016"	294	430138	68.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2017"	"2017"	267	433398	61.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"34 years"	"34"	"2018"	"2018"	269	425820	63.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"1999"	"1999"	178	282093	63.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2000"	"2000"	180	288816	62.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2001"	"2001"	193	290162	66.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2002"	"2002"	187	295760	63.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2003"	"2003"	206	310605	66.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2004"	"2004"	177	320870	55.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2005"	"2005"	194	348303	55.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2006"	"2006"	207	356895	58.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2007"	"2007"	207	363009	57.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2008"	"2008"	198	371300	53.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2009"	"2009"	215	376482	57.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2010"	"2010"	201	392130	51.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2011"	"2011"	198	390063	50.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2012"	"2012"	203	396000	51.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2013"	"2013"	231	396959	58.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2014"	"2014"	230	404467	56.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2015"	"2015"	233	435291	53.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2016"	"2016"	246	425453	57.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2017"	"2017"	289	436385	66.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35 years"	"35"	"2018"	"2018"	305	434348	70.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"1999"	"1999"	188	271692	69.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2000"	"2000"	214	278393	76.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2001"	"2001"	215	295473	72.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2002"	"2002"	172	295409	58.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2003"	"2003"	171	300526	56.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2004"	"2004"	198	315034	62.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2005"	"2005"	219	325392	67.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2006"	"2006"	234	352921	66.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2007"	"2007"	226	360989	62.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2008"	"2008"	203	366840	55.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2009"	"2009"	225	374673	60.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2010"	"2010"	205	375097	54.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2011"	"2011"	204	393506	51.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2012"	"2012"	208	390014	53.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2013"	"2013"	215	396744	54.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2014"	"2014"	211	403700	52.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2015"	"2015"	248	407826	60.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"36 years"	"36"	"2016"	"2016"	274	434224	63.1
