"group"	"country"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"
1	1	3	48	8	40	0.000150	0.000004	Uncorrelated	3	42	36	45	4.418540	0.027769	159.115116	0.000000	-0.000486	0.000617	-0.788169	0.435619	-0.002522	0.000666	-3.785542	0.000545
2	0	4	48	10	38	0.000045	0.000001	Uncorrelated	0	NA	NA	NA	4.194682	0.000694	6040.623746	0.000000	0.004378	0.000193	22.733036	0.000000	NA	NA	NA	NA
2	0	4	48	10	38	0.000045	0.000001	Uncorrelated	1	7	4	14	4.202464	0.000844	4977.720563	0.000000	0.003267	0.000050	64.742366	0.000000	-0.001112	0.000199	-5.584147	0.000003
2	0	4	48	10	38	0.000045	0.000001	Uncorrelated	2	25	20	28	4.177369	0.009035	462.345863	0.000000	0.004270	0.000322	13.250599	0.000000	0.001004	0.000326	3.077304	0.004110
2	0	4	48	10	38	0.000045	0.000001	Uncorrelated	3	31	26	39	4.214450	0.003608	1167.967047	0.000000	0.003074	0.000097	31.636958	0.000000	-0.001196	0.000337	-3.553679	0.001139
2	0	4	48	10	38	0.000045	0.000001	Uncorrelated	4	43	37	45	4.303726	0.020743	207.473479	0.000000	0.000998	0.000456	2.189636	0.035510	-0.002076	0.000466	-4.455256	0.000086
2	1	4	48	10	38	0.000154	0.000004	Uncorrelated	0	NA	NA	NA	4.205035	0.001082	3885.014528	0.000000	0.004591	0.000167	27.545550	0.000000	NA	NA	NA	NA
2	1	4	48	10	38	0.000154	0.000004	Uncorrelated	1	12	6	14	4.239099	0.003473	1220.495789	0.000000	0.001753	0.000190	9.222629	0.000000	-0.002839	0.000253	-11.229338	0.000000
2	1	4	48	10	38	0.000154	0.000004	Uncorrelated	2	24	12	26	4.152360	0.071895	57.755841	0.000000	0.005367	0.002819	1.903915	0.065413	0.003614	0.002825	1.279222	0.209481
2	1	4	48	10	38	0.000154	0.000004	Uncorrelated	3	27	17	32	4.225334	0.004590	920.508155	0.000000	0.002664	0.000132	20.159951	0.000000	-0.002703	0.002822	-0.957750	0.344950
2	1	4	48	10	38	0.000154	0.000004	Uncorrelated	4	42	39	45	4.379535	0.028378	154.326580	0.000000	-0.001007	0.000630	-1.598095	0.119275	-0.003671	0.000644	-5.700824	0.000002
