"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Large Fringe Metro"	"2"	"Male"	"M"	"2000"	"2000"	4733	25186549	18.8	19.3
	"Large Fringe Metro"	"2"	"Male"	"M"	"2001"	"2001"	5248	25784477	20.4	20.7
	"Large Fringe Metro"	"2"	"Male"	"M"	"2002"	"2002"	5424	26221178	20.7	21.1
	"Large Fringe Metro"	"2"	"Male"	"M"	"2003"	"2003"	5434	26633279	20.4	20.7
	"Large Fringe Metro"	"2"	"Male"	"M"	"2004"	"2004"	5316	27075063	19.6	19.8
	"Large Fringe Metro"	"2"	"Male"	"M"	"2005"	"2005"	5488	27522338	19.9	20.1
	"Large Fringe Metro"	"2"	"Male"	"M"	"2006"	"2006"	5633	27956531	20.1	20.3
	"Large Fringe Metro"	"2"	"Male"	"M"	"2007"	"2007"	5941	28348484	21.0	21.0
	"Large Fringe Metro"	"2"	"Male"	"M"	"2008"	"2008"	6258	28729613	21.8	21.8
	"Large Fringe Metro"	"2"	"Male"	"M"	"2009"	"2009"	6507	29064449	22.4	22.4
	"Large Fringe Metro"	"2"	"Male"	"M"	"2010"	"2010"	6898	29315872	23.5	23.4
	"Large Fringe Metro"	"2"	"Male"	"M"	"2011"	"2011"	7063	29773064	23.7	23.6
	"Large Fringe Metro"	"2"	"Male"	"M"	"2012"	"2012"	7091	30149126	23.5	23.4
	"Large Fringe Metro"	"2"	"Male"	"M"	"2013"	"2013"	6986	30507675	22.9	22.8
	"Large Fringe Metro"	"2"	"Male"	"M"	"2014"	"2014"	7500	30932689	24.2	24.1
	"Large Fringe Metro"	"2"	"Male"	"M"	"2015"	"2015"	7408	31342468	23.6	23.5
	"Large Fringe Metro"	"2"	"Male"	"M"	"2016"	"2016"	7784	31647331	24.6	24.5
	"Large Fringe Metro"	"2"	"Male"	"M"	"2017"	"2017"	8111	32073169	25.3	25.2
	"Large Fringe Metro"	"2"	"Male"	"M"	"2018"	"2018"	8379	32355736	25.9	25.8
	"Medium Metro"	"3"	"Female"	"F"	"1999"	"1999"	1245	23090996	5.4	5.4
	"Medium Metro"	"3"	"Female"	"F"	"2000"	"2000"	1248	23292656	5.4	5.4
	"Medium Metro"	"3"	"Female"	"F"	"2001"	"2001"	1285	23644452	5.4	5.5
	"Medium Metro"	"3"	"Female"	"F"	"2002"	"2002"	1297	23947157	5.4	5.5
	"Medium Metro"	"3"	"Female"	"F"	"2003"	"2003"	1418	24252466	5.8	5.9
	"Medium Metro"	"3"	"Female"	"F"	"2004"	"2004"	1503	24583719	6.1	6.2
	"Medium Metro"	"3"	"Female"	"F"	"2005"	"2005"	1539	24945794	6.2	6.2
	"Medium Metro"	"3"	"Female"	"F"	"2006"	"2006"	1606	25334047	6.3	6.4
	"Medium Metro"	"3"	"Female"	"F"	"2007"	"2007"	1584	25670582	6.2	6.2
	"Medium Metro"	"3"	"Female"	"F"	"2008"	"2008"	1653	25969985	6.4	6.5
	"Medium Metro"	"3"	"Female"	"F"	"2009"	"2009"	1742	26247086	6.6	6.7
	"Medium Metro"	"3"	"Female"	"F"	"2010"	"2010"	1836	26450531	6.9	6.9
	"Medium Metro"	"3"	"Female"	"F"	"2011"	"2011"	1861	26748833	7.0	7.0
	"Medium Metro"	"3"	"Female"	"F"	"2012"	"2012"	2031	26974638	7.5	7.6
	"Medium Metro"	"3"	"Female"	"F"	"2013"	"2013"	2071	27187614	7.6	7.7
	"Medium Metro"	"3"	"Female"	"F"	"2014"	"2014"	2160	27466647	7.9	7.9
	"Medium Metro"	"3"	"Female"	"F"	"2015"	"2015"	2326	27756412	8.4	8.5
	"Medium Metro"	"3"	"Female"	"F"	"2016"	"2016"	2355	28007521	8.4	8.6
	"Medium Metro"	"3"	"Female"	"F"	"2017"	"2017"	2464	28268465	8.7	8.9
	"Medium Metro"	"3"	"Female"	"F"	"2018"	"2018"	2383	28506605	8.4	8.5
	"Medium Metro"	"3"	"Male"	"M"	"1999"	"1999"	4858	21623561	22.5	23.0
	"Medium Metro"	"3"	"Male"	"M"	"2000"	"2000"	5131	21844341	23.5	24.2
	"Medium Metro"	"3"	"Male"	"M"	"2001"	"2001"	5312	22225151	23.9	24.4
	"Medium Metro"	"3"	"Male"	"M"	"2002"	"2002"	5414	22536622	24.0	24.6
	"Medium Metro"	"3"	"Male"	"M"	"2003"	"2003"	5378	22803672	23.6	24.1
	"Medium Metro"	"3"	"Male"	"M"	"2004"	"2004"	5580	23166229	24.1	24.5
	"Medium Metro"	"3"	"Male"	"M"	"2005"	"2005"	5550	23535268	23.6	24.0
	"Medium Metro"	"3"	"Male"	"M"	"2006"	"2006"	5702	23929104	23.8	24.3
	"Medium Metro"	"3"	"Male"	"M"	"2007"	"2007"	6001	24242399	24.8	25.2
	"Medium Metro"	"3"	"Male"	"M"	"2008"	"2008"	6167	24534775	25.1	25.4
	"Medium Metro"	"3"	"Male"	"M"	"2009"	"2009"	6303	24792441	25.4	25.7
	"Medium Metro"	"3"	"Male"	"M"	"2010"	"2010"	6537	25004805	26.1	26.3
	"Medium Metro"	"3"	"Male"	"M"	"2011"	"2011"	6899	25335256	27.2	27.5
	"Medium Metro"	"3"	"Male"	"M"	"2012"	"2012"	7021	25590180	27.4	27.6
	"Medium Metro"	"3"	"Male"	"M"	"2013"	"2013"	7086	25839313	27.4	27.6
	"Medium Metro"	"3"	"Male"	"M"	"2014"	"2014"	7430	26103204	28.5	28.7
	"Medium Metro"	"3"	"Male"	"M"	"2015"	"2015"	7895	26393510	29.9	30.2
	"Medium Metro"	"3"	"Male"	"M"	"2016"	"2016"	7878	26612761	29.6	29.7
	"Medium Metro"	"3"	"Male"	"M"	"2017"	"2017"	8279	26877111	30.8	31.0
	"Medium Metro"	"3"	"Male"	"M"	"2018"	"2018"	8331	27095356	30.7	30.8
	"Small Metro"	"4"	"Female"	"F"	"1999"	"1999"	592	10499760	5.6	5.7
	"Small Metro"	"4"	"Female"	"F"	"2000"	"2000"	557	10571527	5.3	5.4
	"Small Metro"	"4"	"Female"	"F"	"2001"	"2001"	592	10691729	5.5	5.7
	"Small Metro"	"4"	"Female"	"F"	"2002"	"2002"	564	10808158	5.2	5.3
	"Small Metro"	"4"	"Female"	"F"	"2003"	"2003"	591	10921634	5.4	5.6
	"Small Metro"	"4"	"Female"	"F"	"2004"	"2004"	658	11052940	6.0	6.1
	"Small Metro"	"4"	"Female"	"F"	"2005"	"2005"	637	11191422	5.7	5.9
	"Small Metro"	"4"	"Female"	"F"	"2006"	"2006"	704	11354766	6.2	6.3
	"Small Metro"	"4"	"Female"	"F"	"2007"	"2007"	771	11479363	6.7	7.0
	"Small Metro"	"4"	"Female"	"F"	"2008"	"2008"	765	11595382	6.6	6.7
	"Small Metro"	"4"	"Female"	"F"	"2009"	"2009"	799	11698742	6.8	7.0
	"Small Metro"	"4"	"Female"	"F"	"2010"	"2010"	801	11770637	6.8	7.0
	"Small Metro"	"4"	"Female"	"F"	"2011"	"2011"	912	11867641	7.7	7.9
	"Small Metro"	"4"	"Female"	"F"	"2012"	"2012"	877	11931493	7.4	7.7
	"Small Metro"	"4"	"Female"	"F"	"2013"	"2013"	930	11992691	7.8	7.9
	"Small Metro"	"4"	"Female"	"F"	"2014"	"2014"	1018	12080346	8.4	8.6
	"Small Metro"	"4"	"Female"	"F"	"2015"	"2015"	1072	12157766	8.8	9.0
	"Small Metro"	"4"	"Female"	"F"	"2016"	"2016"	1041	12220688	8.5	8.9
	"Small Metro"	"4"	"Female"	"F"	"2017"	"2017"	1130	12293780	9.2	9.6
	"Small Metro"	"4"	"Female"	"F"	"2018"	"2018"	1071	12385120	8.6	9.0
	"Small Metro"	"4"	"Male"	"M"	"1999"	"1999"	2512	9961106	25.2	25.9
	"Small Metro"	"4"	"Male"	"M"	"2000"	"2000"	2451	10045002	24.4	25.2
	"Small Metro"	"4"	"Male"	"M"	"2001"	"2001"	2503	10187221	24.6	25.3
	"Small Metro"	"4"	"Male"	"M"	"2002"	"2002"	2697	10312671	26.2	26.9
	"Small Metro"	"4"	"Male"	"M"	"2003"	"2003"	2622	10422874	25.2	25.9
	"Small Metro"	"4"	"Male"	"M"	"2004"	"2004"	2750	10582674	26.0	26.7
	"Small Metro"	"4"	"Male"	"M"	"2005"	"2005"	2912	10729123	27.1	27.9
	"Small Metro"	"4"	"Male"	"M"	"2006"	"2006"	2938	10900099	27.0	27.7
	"Small Metro"	"4"	"Male"	"M"	"2007"	"2007"	2991	11027522	27.1	27.8
	"Small Metro"	"4"	"Male"	"M"	"2008"	"2008"	2962	11145823	26.6	27.1
	"Small Metro"	"4"	"Male"	"M"	"2009"	"2009"	3185	11250648	28.3	28.7
	"Small Metro"	"4"	"Male"	"M"	"2010"	"2010"	3264	11322648	28.8	29.3
	"Small Metro"	"4"	"Male"	"M"	"2011"	"2011"	3323	11437378	29.1	29.5
	"Small Metro"	"4"	"Male"	"M"	"2012"	"2012"	3465	11517533	30.1	30.7
	"Small Metro"	"4"	"Male"	"M"	"2013"	"2013"	3563	11593868	30.7	31.3
	"Small Metro"	"4"	"Male"	"M"	"2014"	"2014"	3569	11684954	30.5	30.9
	"Small Metro"	"4"	"Male"	"M"	"2015"	"2015"	3675	11766833	31.2	31.6
	"Small Metro"	"4"	"Male"	"M"	"2016"	"2016"	3787	11827748	32.0	32.6
	"Small Metro"	"4"	"Male"	"M"	"2017"	"2017"	4101	11900359	34.5	34.9
	"Small Metro"	"4"	"Male"	"M"	"2018"	"2018"	4248	11978663	35.5	35.7
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"1999"	"1999"	503	10441271	4.8	4.9
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2000"	"2000"	528	10490144	5.0	5.2
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2001"	"2001"	578	10540022	5.5	5.6
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2002"	"2002"	586	10593078	5.5	5.7
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2003"	"2003"	574	10653924	5.4	5.6
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2004"	"2004"	637	10720542	5.9	6.0
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2005"	"2005"	659	10795622	6.1	6.3
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2006"	"2006"	682	10885607	6.3	6.5
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2007"	"2007"	705	10949982	6.4	6.6
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2008"	"2008"	716	11008208	6.5	6.8
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2009"	"2009"	702	11049244	6.4	6.5
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2010"	"2010"	732	11087276	6.6	6.8
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2011"	"2011"	800	11128584	7.2	7.5
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2012"	"2012"	772	11134355	6.9	7.3
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2013"	"2013"	856	11147126	7.7	8.0
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2014"	"2014"	921	11170461	8.2	8.6
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2015"	"2015"	952	11190651	8.5	8.9
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2016"	"2016"	960	11198110	8.6	8.9
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2017"	"2017"	973	11209010	8.7	9.3
	"Micropolitan (Nonmetro)"	"5"	"Female"	"F"	"2018"	"2018"	1036	11233829	9.2	9.7
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"1999"	"1999"	2604	9973250	26.1	26.7
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2000"	"2000"	2696	10046687	26.8	27.4
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2001"	"2001"	2753	10133790	27.2	27.7
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2002"	"2002"	2839	10213212	27.8	28.2
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2003"	"2003"	2814	10293231	27.3	27.9
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2004"	"2004"	2880	10388312	27.7	28.2
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2005"	"2005"	2895	10484197	27.6	28.3
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2006"	"2006"	2974	10596637	28.1	28.5
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2007"	"2007"	2900	10680905	27.2	27.6
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2008"	"2008"	3161	10750862	29.4	29.7
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2009"	"2009"	3219	10808527	29.8	30.2
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2010"	"2010"	3340	10851448	30.8	31.2
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2011"	"2011"	3393	10905726	31.1	31.5
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2012"	"2012"	3500	10931787	32.0	32.4
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2013"	"2013"	3536	10962758	32.3	32.6
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2014"	"2014"	3577	10994301	32.5	32.6
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2015"	"2015"	3783	11023287	34.3	34.6
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2016"	"2016"	3836	11036793	34.8	35.2
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2017"	"2017"	4129	11046117	37.4	38.0
	"Micropolitan (Nonmetro)"	"5"	"Male"	"M"	"2018"	"2018"	4204	11073744	38.0	38.2
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"1999"	"1999"	364	7608194	4.8	4.9
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2000"	"2000"	398	7632472	5.2	5.4
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2001"	"2001"	377	7630477	4.9	5.1
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2002"	"2002"	433	7646740	5.7	5.9
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2003"	"2003"	412	7668044	5.4	5.6
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2004"	"2004"	493	7690194	6.4	6.8
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2005"	"2005"	429	7716760	5.6	5.8
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2006"	"2006"	435	7747107	5.6	5.7
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2007"	"2007"	492	7764192	6.3	6.6
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2008"	"2008"	505	7771932	6.5	6.8
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2009"	"2009"	542	7763135	7.0	7.4
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2010"	"2010"	572	7778790	7.4	7.8
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2011"	"2011"	575	7776140	7.4	7.9
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2012"	"2012"	596	7751187	7.7	8.2
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2013"	"2013"	607	7750126	7.8	8.3
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2014"	"2014"	641	7736005	8.3	8.7
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2015"	"2015"	682	7726223	8.8	9.2
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2016"	"2016"	705	7708751	9.1	9.7
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2017"	"2017"	718	7702171	9.3	9.9
	"NonCore (Nonmetro)"	"6"	"Female"	"F"	"2018"	"2018"	711	7704484	9.2	10.1
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"1999"	"1999"	2109	7330391	28.8	29.1
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2000"	"2000"	2193	7381299	29.7	30.1
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2001"	"2001"	2194	7416156	29.6	29.9
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2002"	"2002"	2266	7459038	30.4	30.7
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2003"	"2003"	2224	7509331	29.6	29.9
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2004"	"2004"	2289	7560127	30.3	30.8
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2005"	"2005"	2270	7611800	29.8	30.1
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2006"	"2006"	2252	7666514	29.4	29.8
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2007"	"2007"	2361	7705557	30.6	30.6
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2008"	"2008"	2403	7732263	31.1	31.3
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2009"	"2009"	2451	7751927	31.6	31.8
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2010"	"2010"	2614	7767086	33.7	34.0
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2011"	"2011"	2602	7776153	33.5	33.7
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2012"	"2012"	2628	7767766	33.8	34.0
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2013"	"2013"	2796	7772080	36.0	36.0
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2014"	"2014"	2774	7766526	35.7	35.4
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2015"	"2015"	2896	7764413	37.3	37.6
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2016"	"2016"	2880	7754054	37.1	37.6
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2017"	"2017"	2993	7746601	38.6	39.3
	"NonCore (Nonmetro)"	"6"	"Male"	"M"	"2018"	"2018"	2998	7752419	38.7	38.9
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"ICD-10 Codes: X60-X84 (Intentional self-harm)"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Group By: 2013 Urbanization; Gender; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 26, 2020 4:16:35 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on May 26, 2020 4:16:35 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"5. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population."
"6. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates."
"7. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"8. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
