Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2011	GA	Georgia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	207	6.9	5.6	8.2	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	13	EDUCA4	CAT5	_RFDRHV4	RESP046	(32.839681093, -83.627580346)
2011	CA	California	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	172	6.6	5.3	8.0	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	6	EDUCA2	CAT5	_RFDRHV4	RESP046	(37.638640123, -120.999999538)
2011	AL	Alabama	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	87	4.8	3.6	6.1	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	1	EDUCA4	CAT5	_RFDRHV4	RESP046	(32.840571122, -86.631860762)
2013	NM	New Mexico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	171	5.8	4.7	6.9	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	35	EDUCA4	CAT5	_RFDRHV4	RESP046	(34.520880952, -106.240580985)
2011	IA	Iowa	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	148	9.0	7.3	10.7	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	19	EDUCA2	CAT5	_RFDRHV4	RESP046	(42.469400913, -93.816490556)
2012	GA	Georgia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	25	5.8	2.9	8.7	2409	%	Crude Prevalence			BRFSS	CLASS01	Topic30	13	EDUCA1	CAT5	_RFDRHV4	RESP046	(32.839681093, -83.627580346)
2012	NE	Nebraska	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	333	7.4	6.4	8.4	2419	%	Crude Prevalence			BRFSS	CLASS01	Topic30	31	EDUCA3	CAT5	_RFDRHV4	RESP046	(41.641040988001, -99.365720623)
2011	IL	Illinois	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	113	9.2	7.2	11.2	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	17	EDUCA3	CAT5	_RFDRHV4	RESP046	(40.485010283, -88.997710178)
2013	NJ	New Jersey	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	32	2.8	1.4	4.2	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	34	EDUCA1	CAT5	_RFDRHV4	RESP046	(40.130570048, -74.273691288)
2011	NM	New Mexico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	105	5.5	4.2	6.7	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	35	EDUCA2	CAT5	_RFDRHV4	RESP046	(34.520880952, -106.240580985)
2012	NE	Nebraska	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	65	6.7	4.5	8.9	2417	%	Crude Prevalence			BRFSS	CLASS01	Topic30	31	EDUCA1	CAT5	_RFDRHV4	RESP046	(41.641040988001, -99.365720623)
2012	NM	New Mexico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	124	6.2	4.9	7.4	2408	%	Crude Prevalence			BRFSS	CLASS01	Topic30	35	EDUCA3	CAT5	_RFDRHV4	RESP046	(34.520880952, -106.240580985)
2011	HI	Hawaii	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	153	6.9	5.4	8.3	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	15	EDUCA3	CAT5	_RFDRHV4	RESP046	(21.304850435, -157.857749403)
2013	WV	West Virginia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	41	3.2	2.1	4.3	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	54	EDUCA4	CAT5	_RFDRHV4	RESP046	(38.665510202, -80.712640135)
2012	NY	New York	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	77	5.1	3.6	6.6	2406	%	Crude Prevalence			BRFSS	CLASS01	Topic30	36	EDUCA3	CAT5	_RFDRHV4	RESP046	(42.827001032, -75.543970427)
2013	MS	Mississippi	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	27	5.2	3.0	7.4	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	28	EDUCA1	CAT5	_RFDRHV4	RESP046	(32.745510099, -89.538030825)
2011	CA	California	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	52	3.5	2.4	4.7	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	6	EDUCA1	CAT5	_RFDRHV4	RESP046	(37.638640123, -120.999999538)
2012	OR	Oregon	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	18	7.0	3.4	10.5	2395	%	Crude Prevalence			BRFSS	CLASS01	Topic30	41	EDUCA1	CAT5	_RFDRHV4	RESP046	(44.567449424, -120.155031326)
2011	NE	Nebraska	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	364	6.7	5.8	7.6	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	31	EDUCA4	CAT5	_RFDRHV4	RESP046	(41.641040988001, -99.365720623)
2013	MN	Minnesota	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	215	8.1	6.5	9.7	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	27	EDUCA2	CAT5	_RFDRHV4	RESP046	(46.355648736, -94.794200503)
2012	NV	Nevada	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	113	7.2	5.5	9.0	2408	%	Crude Prevalence			BRFSS	CLASS01	Topic30	32	EDUCA3	CAT5	_RFDRHV4	RESP046	(39.49324039, -117.071840564)
2011	SD	South Dakota	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	106	5.2	3.3	7.0	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	46	EDUCA4	CAT5	_RFDRHV4	RESP046	(44.353130053, -100.373530637)
2012	FL	Florida	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	181	7.1	5.7	8.5	2415	%	Crude Prevalence			BRFSS	CLASS01	Topic30	12	EDUCA4	CAT5	_RFDRHV4	RESP046	(28.932040377, -81.928960539)
2012	VA	Virginia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	17	3.9	1.9	6.0	2406	%	Crude Prevalence			BRFSS	CLASS01	Topic30	51	EDUCA1	CAT5	_RFDRHV4	RESP046	(37.542680674, -78.457890463)
2011	MI	Michigan	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	235	6.6	5.5	7.7	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	26	EDUCA4	CAT5	_RFDRHV4	RESP046	(44.661319543001, -84.71439027)
2013	OR	Oregon	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	105	7.5	5.8	9.1	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	41	EDUCA2	CAT5	_RFDRHV4	RESP046	(44.567449424, -120.155031326)
2013	RI	Rhode Island	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	95	7.2	5.2	9.2	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	44	EDUCA3	CAT5	_RFDRHV4	RESP046	(41.708280193, -71.522470314)
2013	CT	Connecticut	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	79	5.4	3.7	7.2	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	9	EDUCA2	CAT5	_RFDRHV4	RESP046	(41.56266102, -72.649840952)
2013	CA	California	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	126	6.6	5.2	8.1	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	6	EDUCA2	CAT5	_RFDRHV4	RESP046	(37.638640123, -120.999999538)
2011	KY	Kentucky	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	131	6.1	4.7	7.4	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	21	EDUCA4	CAT5	_RFDRHV4	RESP046	(37.645970271, -84.774971048)
2013	MD	Maryland	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	24	3.6	1.6	5.7	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	24	EDUCA1	CAT5	_RFDRHV4	RESP046	(39.290580964, -76.609260111)
2012	KS	Kansas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	170	6.3	5.1	7.5	2415	%	Crude Prevalence			BRFSS	CLASS01	Topic30	20	EDUCA3	CAT5	_RFDRHV4	RESP046	(38.3477403, -98.200781227)
2013	CA	California	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	38	3.6	2.2	4.9	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	6	EDUCA1	CAT5	_RFDRHV4	RESP046	(37.638640123, -120.999999538)
2012	AZ	Arizona	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	127	6.3	4.5	8.0	2411	%	Crude Prevalence			BRFSS	CLASS01	Topic30	4	EDUCA4	CAT5	_RFDRHV4	RESP046	(34.86597028, -111.763811277)
2012	ND	North Dakota	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	89	9.5	7.1	11.9	2380	%	Crude Prevalence			BRFSS	CLASS01	Topic30	38	EDUCA2	CAT5	_RFDRHV4	RESP046	(47.475319779, -100.118421049)
2013	HI	Hawaii	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	203	5.8	4.7	7.0	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	15	EDUCA4	CAT5	_RFDRHV4	RESP046	(21.304850435, -157.857749403)
2013	GA	Georgia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	95	5.2	4.0	6.5	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	13	EDUCA3	CAT5	_RFDRHV4	RESP046	(32.839681093, -83.627580346)
2011	MA	Massachusetts	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	300	7.4	6.1	8.7	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	25	EDUCA2	CAT5	_RFDRHV4	RESP046	(42.27687047, -72.082690675)
2012	ME	Maine	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	166	6.8	5.5	8.0	2401	%	Crude Prevalence			BRFSS	CLASS01	Topic30	23	EDUCA3	CAT5	_RFDRHV4	RESP046	(45.254228894001, -68.985031336)
2012	KY	Kentucky	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	29	3.8	1.7	5.8	2411	%	Crude Prevalence			BRFSS	CLASS01	Topic30	21	EDUCA1	CAT5	_RFDRHV4	RESP046	(37.645970271, -84.774971048)
2011	WV	West Virginia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	38	3.5	2.3	4.8	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	54	EDUCA3	CAT5	_RFDRHV4	RESP046	(38.665510202, -80.712640135)
2012	TN	Tennessee	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	54	4.2	2.8	5.5	2403	%	Crude Prevalence			BRFSS	CLASS01	Topic30	47	EDUCA3	CAT5	_RFDRHV4	RESP046	(35.68094058, -85.774490914)
2013	OH	Ohio	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	38	5.4	3.1	7.7	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	39	EDUCA1	CAT5	_RFDRHV4	RESP046	(40.060210141, -82.404260056)
2013	NH	New Hampshire	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	124	8.7	6.9	10.5	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	33	EDUCA3	CAT5	_RFDRHV4	RESP046	(43.655950113, -71.50036092)
2012	CA	California	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	138	5.7	4.5	6.9	2415	%	Crude Prevalence			BRFSS	CLASS01	Topic30	6	EDUCA2	CAT5	_RFDRHV4	RESP046	(37.638640123, -120.999999538)
2012	MI	Michigan	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	183	5.2	4.3	6.1	2412	%	Crude Prevalence			BRFSS	CLASS01	Topic30	26	EDUCA4	CAT5	_RFDRHV4	RESP046	(44.661319543001, -84.71439027)
2012	TX	Texas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	33	3.9	2.4	5.4	2409	%	Crude Prevalence			BRFSS	CLASS01	Topic30	48	EDUCA1	CAT5	_RFDRHV4	RESP046	(31.827240407, -99.426770206)
2013	VT	Vermont	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	218	8.3	7.0	9.5	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	50	EDUCA4	CAT5	_RFDRHV4	RESP046	(43.625381239, -72.517640791)
2011	MA	Massachusetts	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	56	6.6	4.2	9.0	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	25	EDUCA1	CAT5	_RFDRHV4	RESP046	(42.27687047, -72.082690675)
2013	CO	Colorado	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	154	6.0	4.8	7.2	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	8	EDUCA2	CAT5	_RFDRHV4	RESP046	(38.843840757, -106.133610921)
2013	OR	Oregon	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	194	8.9	7.4	10.3	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	41	EDUCA4	CAT5	_RFDRHV4	RESP046	(44.567449424, -120.155031326)
2012	OR	Oregon	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	95	7.0	5.3	8.7	2397	%	Crude Prevalence			BRFSS	CLASS01	Topic30	41	EDUCA3	CAT5	_RFDRHV4	RESP046	(44.567449424, -120.155031326)
