"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2016"	"2016"	118	4661453	2.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2017"	"2017"	132	4734211	2.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2018"	"2018"	141	4786228	2.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"1999"	"1999"	103	2925524	3.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2000"	"2000"	113	3016025	3.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2001"	"2001"	125	3156431	4.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2002"	"2002"	113	3273556	3.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2003"	"2003"	118	3376578	3.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2004"	"2004"	117	3476654	3.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2005"	"2005"	129	3578646	3.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2006"	"2006"	113	3681946	3.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2007"	"2007"	130	3782296	3.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2008"	"2008"	133	3874826	3.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2009"	"2009"	123	3957846	3.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2010"	"2010"	105	4015770	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2011"	"2011"	117	4069856	2.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2012"	"2012"	109	4092079	2.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2013"	"2013"	106	4123983	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2014"	"2014"	99	4215110	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2015"	"2015"	117	4272746	2.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2016"	"2016"	135	4320902	3.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2017"	"2017"	148	4431070	3.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2018"	"2018"	130	4488709	2.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"1999"	"1999"	78	2384658	3.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2000"	"2000"	88	2476300	3.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2001"	"2001"	96	2623197	3.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2002"	"2002"	97	2732606	3.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2003"	"2003"	100	2845357	3.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2004"	"2004"	92	2953817	3.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2005"	"2005"	92	3065347	3.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2006"	"2006"	97	3185031	3.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2007"	"2007"	96	3295387	2.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2008"	"2008"	92	3400614	2.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2009"	"2009"	92	3492206	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2010"	"2010"	81	3564335	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2011"	"2011"	99	3662224	2.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2012"	"2012"	80	3729644	2.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2013"	"2013"	78	3794385	2.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2014"	"2014"	85	3910211	2.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2015"	"2015"	93	3996573	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2016"	"2016"	92	4027467	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2017"	"2017"	116	4124711	2.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2018"	"2018"	101	4169801	2.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"1999"	"1999"	47	1502112	3.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2000"	"2000"	52	1585172	3.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2001"	"2001"	40	1713991	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2002"	"2002"	48	1814352	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2003"	"2003"	51	1916006	2.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2004"	"2004"	43	2023366	2.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2005"	"2005"	44	2140640	2.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2006"	"2006"	53	2259521	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2007"	"2007"	44	2383813	1.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2008"	"2008"	58	2507667	2.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2009"	"2009"	57	2635186	2.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2010"	"2010"	55	2727612	2.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2011"	"2011"	43	2841771	1.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2012"	"2012"	51	2922099	1.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2013"	"2013"	40	3011386	1.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2014"	"2014"	43	3136326	1.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2015"	"2015"	66	3238650	2.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2016"	"2016"	60	3312816	1.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2017"	"2017"	72	3419060	2.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"2018"	"2018"	60	3484917	1.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"1999"	"1999"	671	15951117	4.2
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2000"	"2000"	613	16087695	3.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2001"	"2001"	593	16436153	3.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2002"	"2002"	618	16644434	3.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2003"	"2003"	583	16822385	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2004"	"2004"	582	16971731	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2005"	"2005"	573	17079814	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2006"	"2006"	580	17134191	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2007"	"2007"	588	17173260	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2008"	"2008"	568	17182357	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2009"	"2009"	526	17162515	3.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2010"	"2010"	498	17102440	2.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2011"	"2011"	513	17051933	3.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2012"	"2012"	515	17050005	3.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2013"	"2013"	451	16980445	2.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2014"	"2014"	425	16905411	2.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2015"	"2015"	479	16765799	2.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2016"	"2016"	573	16556663	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2017"	"2017"	536	16366451	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"15-24 years"	"15-24"	"2018"	"2018"	539	16208117	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"1999"	"1999"	770	17019566	4.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2000"	"2000"	686	16755170	4.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2001"	"2001"	705	16410612	4.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2002"	"2002"	691	16245223	4.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2003"	"2003"	647	16124344	4.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2004"	"2004"	606	16043571	3.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2005"	"2005"	611	15969052	3.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2006"	"2006"	618	15944394	3.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2007"	"2007"	607	16006297	3.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2008"	"2008"	576	16144585	3.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2009"	"2009"	598	16309584	3.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2010"	"2010"	577	16416087	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2011"	"2011"	561	16676479	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2012"	"2012"	576	16878450	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2013"	"2013"	563	17079113	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2014"	"2014"	572	17331180	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2015"	"2015"	638	17565318	3.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2016"	"2016"	694	17756603	3.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2017"	"2017"	727	17920241	4.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"25-34 years"	"25-34"	"2018"	"2018"	737	17998356	4.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"1999"	"1999"	810	20284946	4.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2000"	"2000"	801	20224429	4.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2001"	"2001"	822	20019232	4.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2002"	"2002"	738	19706849	3.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2003"	"2003"	685	19361346	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2004"	"2004"	659	19061917	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2005"	"2005"	691	18799996	3.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2006"	"2006"	643	18542580	3.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2007"	"2007"	660	18206615	3.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2008"	"2008"	558	17795119	3.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2009"	"2009"	540	17349404	3.1
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2010"	"2010"	506	17070272	3.0
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2011"	"2011"	470	16742260	2.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2012"	"2012"	477	16613169	2.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2013"	"2013"	473	16513044	2.9
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2014"	"2014"	437	16443693	2.7
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2015"	"2015"	462	16389633	2.8
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2016"	"2016"	560	16289926	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2017"	"2017"	555	16381559	3.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"35-44 years"	"35-44"	"2018"	"2018"	544	16520487	3.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"1999"	"1999"	386	17130193	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2000"	"2000"	406	17595550	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2001"	"2001"	426	18333090	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2002"	"2002"	464	18543251	2.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2003"	"2003"	469	18860913	2.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2004"	"2004"	464	19160763	2.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2005"	"2005"	426	19473889	2.2
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2006"	"2006"	512	19752054	2.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2007"	"2007"	512	19954149	2.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2008"	"2008"	462	20089869	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2009"	"2009"	486	20162668	2.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2010"	"2010"	455	20136745	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2011"	"2011"	498	19857185	2.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2012"	"2012"	464	19539769	2.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2013"	"2013"	461	19187062	2.4
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2014"	"2014"	430	18897481	2.3
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2015"	"2015"	406	18650735	2.2
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2016"	"2016"	452	18367724	2.5
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2017"	"2017"	462	18049535	2.6
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"45-54 years"	"45-54"	"2018"	"2018"	466	17605580	2.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"1999"	"1999"	987	3407725	29.0
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2000"	"2000"	1013	3563695	28.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2001"	"2001"	1078	3705319	29.1
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2002"	"2002"	1077	3808168	28.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2003"	"2003"	1134	3897867	29.1
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2004"	"2004"	1118	3992606	28.0
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2005"	"2005"	1186	4098649	28.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2006"	"2006"	1206	4215091	28.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2007"	"2007"	1165	4324082	26.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2008"	"2008"	1082	4440881	24.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2009"	"2009"	1037	4559056	22.7
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2010"	"2010"	910	4648370	19.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2011"	"2011"	834	4744908	17.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2012"	"2012"	815	4783953	17.0
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2013"	"2013"	738	4826129	15.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2014"	"2014"	690	4867881	14.2
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2015"	"2015"	805	4912223	16.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2016"	"2016"	865	4932463	17.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2017"	"2017"	837	5000515	16.7
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2018"	"2018"	779	5028028	15.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"1999"	"1999"	693	3387762	20.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2000"	"2000"	690	3494210	19.7
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2001"	"2001"	744	3630261	20.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2002"	"2002"	785	3745957	21.0
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2003"	"2003"	842	3842401	21.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2004"	"2004"	840	3939446	21.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2005"	"2005"	943	4032197	23.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2006"	"2006"	874	4129775	21.2
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2007"	"2007"	887	4222625	21.0
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2008"	"2008"	801	4307837	18.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2009"	"2009"	719	4376667	16.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2010"	"2010"	734	4419184	16.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2011"	"2011"	660	4535264	14.6
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2012"	"2012"	666	4579473	14.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2013"	"2013"	613	4638238	13.2
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2014"	"2014"	599	4666247	12.8
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2015"	"2015"	668	4710492	14.2
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2016"	"2016"	820	4744881	17.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2017"	"2017"	757	4889623	15.5
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"2018"	"2018"	698	4940457	14.1
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"1999"	"1999"	350	2545704	13.7
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2000"	"2000"	356	2653010	13.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2001"	"2001"	377	2809147	13.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2002"	"2002"	362	2919575	12.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2003"	"2003"	392	3029768	12.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2004"	"2004"	379	3140262	12.1
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2005"	"2005"	419	3254506	12.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2006"	"2006"	431	3371248	12.8
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2007"	"2007"	398	3476080	11.4
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2008"	"2008"	434	3579653	12.1
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2009"	"2009"	413	3666767	11.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2010"	"2010"	331	3734405	8.9
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2011"	"2011"	338	3845565	8.8
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2012"	"2012"	360	3919266	9.2
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2013"	"2013"	330	3995834	8.3
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"2014"	"2014"	396	4082534	9.7
