Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2013	FL	Florida	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	1074	16.0	14.3	17.6	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	12	EDUCA3	CAT5	_RFBING5	RESP046	(28.932040377, -81.928960539)
2013	CA	California	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	600	15.6	14.1	17.1	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	6	EDUCA4	CAT5	_RFBING5	RESP046	(37.638640123, -120.999999538)
2011	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	174	13.9	11.8	16.0	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA4	CAT5	_RFBING5	RESP046	(18.220833, -66.590149)
2013	MI	Michigan	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	687	20.2	18.6	21.9	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	26	EDUCA4	CAT5	_RFBING5	RESP046	(44.661319543001, -84.71439027)
2012	NM	New Mexico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	265	15.3	13.4	17.2	2361	%	Crude Prevalence			BRFSS	CLASS01	Topic07	35	EDUCA2	CAT5	_RFBING5	RESP046	(34.520880952, -106.240580985)
2012	ME	Maine	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	443	16.0	14.5	17.5	2356	%	Crude Prevalence			BRFSS	CLASS01	Topic07	23	EDUCA4	CAT5	_RFBING5	RESP046	(45.254228894001, -68.985031336)
2012	VT	Vermont	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	248	18.9	16.3	21.6	2343	%	Crude Prevalence			BRFSS	CLASS01	Topic07	50	EDUCA2	CAT5	_RFBING5	RESP046	(43.625381239, -72.517640791)
2011	MN	Minnesota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	96	20.9	16.1	25.7	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	27	EDUCA1	CAT5	_RFBING5	RESP046	(46.355648736, -94.794200503)
2013	OR	Oregon	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	177	16.0	13.5	18.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	41	EDUCA2	CAT5	_RFBING5	RESP046	(44.567449424, -120.155031326)
2011	VA	Virginia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	338	19.1	16.5	21.6	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	51	EDUCA4	CAT5	_RFBING5	RESP046	(37.542680674, -78.457890463)
2011	RI	Rhode Island	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	50	15.5	10.9	20.0	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	44	EDUCA1	CAT5	_RFBING5	RESP046	(41.708280193, -71.522470314)
2012	NY	New York	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	58	12.7	8.7	16.6	2358	%	Crude Prevalence			BRFSS	CLASS01	Topic07	36	EDUCA1	CAT5	_RFBING5	RESP046	(42.827001032, -75.543970427)
2013	VA	Virginia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	430	16.8	14.9	18.7	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	51	EDUCA4	CAT5	_RFBING5	RESP046	(37.542680674, -78.457890463)
2013	AK	Alaska	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	226	19.9	16.8	22.9	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	2	EDUCA2	CAT5	_RFBING5	RESP046	(64.845079957001, -147.722059036)
2012	KS	Kansas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	498	16.9	15.3	18.5	2370	%	Crude Prevalence			BRFSS	CLASS01	Topic07	20	EDUCA4	CAT5	_RFBING5	RESP046	(38.3477403, -98.200781227)
2013	NV	Nevada	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	46	8.4	5.0	11.8	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	32	EDUCA1	CAT5	_RFBING5	RESP046	(39.49324039, -117.071840564)
2012	MI	Michigan	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	467	18.1	16.3	19.8	2366	%	Crude Prevalence			BRFSS	CLASS01	Topic07	26	EDUCA4	CAT5	_RFBING5	RESP046	(44.661319543001, -84.71439027)
2013	NH	New Hampshire	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	33	16.8	10.6	23.1	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	33	EDUCA1	CAT5	_RFBING5	RESP046	(43.655950113, -71.50036092)
2013	MI	Michigan	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	548	18.8	17.1	20.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	26	EDUCA2	CAT5	_RFBING5	RESP046	(44.661319543001, -84.71439027)
2013	DE	Delaware	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	177	18.6	15.6	21.6	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	10	EDUCA3	CAT5	_RFBING5	RESP046	(39.008830667, -75.577741168)
2013	WA	Washington	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	353	18.2	16.2	20.3	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	53	EDUCA2	CAT5	_RFBING5	RESP046	(47.522278629, -120.47001079)
2013	NC	North Carolina	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	279	14.6	12.7	16.4	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	37	EDUCA4	CAT5	_RFBING5	RESP046	(35.466220975, -79.159250463)
2013	WI	Wisconsin	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	394	21.8	19.0	24.6	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	55	EDUCA2	CAT5	_RFBING5	RESP046	(44.393191174, -89.816370742)
2012	IL	Illinois	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	354	21.9	19.5	24.2	2356	%	Crude Prevalence			BRFSS	CLASS01	Topic07	17	EDUCA4	CAT5	_RFBING5	RESP046	(40.485010283, -88.997710178)
2011	TX	Texas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	196	18.4	14.9	21.9	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	48	EDUCA1	CAT5	_RFBING5	RESP046	(31.827240407, -99.426770206)
2011	SC	South Carolina	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	461	17.2	15.2	19.2	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	45	EDUCA4	CAT5	_RFBING5	RESP046	(33.998821303, -81.045371207)
2013	IN	Indiana	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	348	13.9	12.2	15.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	18	EDUCA2	CAT5	_RFBING5	RESP046	(39.766910452, -86.149960194)
2013	DC	District of Columbia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	456	27.9	25.0	30.8	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	11	EDUCA4	CAT5	_RFBING5	RESP046	(38.890371385, -77.031961127)
2011	SC	South Carolina	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	398	16.1	13.9	18.3	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	45	EDUCA2	CAT5	_RFBING5	RESP046	(33.998821303, -81.045371207)
2012	WA	Washington	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	99	17.3	13.6	21.1	2365	%	Crude Prevalence			BRFSS	CLASS01	Topic07	53	EDUCA1	CAT5	_RFBING5	RESP046	(47.522278629, -120.47001079)
2011	MN	Minnesota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	571	21.0	18.9	23.0	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	27	EDUCA2	CAT5	_RFBING5	RESP046	(46.355648736, -94.794200503)
2011	IN	Indiana	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	332	18.2	16.0	20.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	18	EDUCA2	CAT5	_RFBING5	RESP046	(39.766910452, -86.149960194)
2013	ND	North Dakota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	504	27.3	24.6	30.0	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	38	EDUCA3	CAT5	_RFBING5	RESP046	(47.475319779, -100.118421049)
2012	KS	Kansas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	59	12.5	9.0	15.9	2367	%	Crude Prevalence			BRFSS	CLASS01	Topic07	20	EDUCA1	CAT5	_RFBING5	RESP046	(38.3477403, -98.200781227)
2011	LA	Louisiana	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	110	13.2	10.0	16.4	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	22	EDUCA1	CAT5	_RFBING5	RESP046	(31.312660644, -92.445680071)
2012	NJ	New Jersey	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	847	17.2	15.8	18.6	2369	%	Crude Prevalence			BRFSS	CLASS01	Topic07	34	EDUCA4	CAT5	_RFBING5	RESP046	(40.130570048, -74.273691288)
2013	TX	Texas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	165	16.0	13.1	19.0	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	48	EDUCA1	CAT5	_RFBING5	RESP046	(31.827240407, -99.426770206)
2013	NM	New Mexico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	303	16.1	13.8	18.3	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	35	EDUCA3	CAT5	_RFBING5	RESP046	(34.520880952, -106.240580985)
2012	PA	Pennsylvania	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	923	16.6	15.1	18.1	2368	%	Crude Prevalence			BRFSS	CLASS01	Topic07	42	EDUCA2	CAT5	_RFBING5	RESP046	(40.793730152, -77.860700294)
2012	NE	Nebraska	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	922	22.2	20.7	23.7	2374	%	Crude Prevalence			BRFSS	CLASS01	Topic07	31	EDUCA4	CAT5	_RFBING5	RESP046	(41.641040988001, -99.365720623)
2011	AR	Arkansas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	34	12.4	7.5	17.4	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	5	EDUCA1	CAT5	_RFBING5	RESP046	(34.748650124, -92.274490743)
2011	NH	New Hampshire	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	37	20.7	13.4	28.1	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	33	EDUCA1	CAT5	_RFBING5	RESP046	(43.655950113, -71.50036092)
2012	GA	Georgia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	156	14.4	11.8	16.9	2365	%	Crude Prevalence			BRFSS	CLASS01	Topic07	13	EDUCA3	CAT5	_RFBING5	RESP046	(32.839681093, -83.627580346)
2011	AL	Alabama	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	92	16.1	12.2	19.9	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	1	EDUCA1	CAT5	_RFBING5	RESP046	(32.840571122, -86.631860762)
2013	AR	Arkansas	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	113	13.5	10.7	16.3	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	5	EDUCA3	CAT5	_RFBING5	RESP046	(34.748650124, -92.274490743)
2011	HI	Hawaii	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	315	21.7	18.8	24.6	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	15	EDUCA3	CAT5	_RFBING5	RESP046	(21.304850435, -157.857749403)
2012	MN	Minnesota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	678	24.8	22.9	26.7	2365	%	Crude Prevalence			BRFSS	CLASS01	Topic07	27	EDUCA3	CAT5	_RFBING5	RESP046	(46.355648736, -94.794200503)
2012	GA	Georgia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	54	13.9	9.6	18.2	2363	%	Crude Prevalence			BRFSS	CLASS01	Topic07	13	EDUCA1	CAT5	_RFBING5	RESP046	(32.839681093, -83.627580346)
2013	GA	Georgia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	203	13.0	11.0	15.0	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	13	EDUCA3	CAT5	_RFBING5	RESP046	(32.839681093, -83.627580346)
2011	NC	North Carolina	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	266	15.5	13.1	17.9	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	37	EDUCA2	CAT5	_RFBING5	RESP046	(35.466220975, -79.159250463)
2012	NH	New Hampshire	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	243	17.5	15.0	20.1	2356	%	Crude Prevalence			BRFSS	CLASS01	Topic07	33	EDUCA3	CAT5	_RFBING5	RESP046	(43.655950113, -71.50036092)
2011	AK	Alaska	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	184	23.3	19.2	27.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	2	EDUCA2	CAT5	_RFBING5	RESP046	(64.845079957001, -147.722059036)
2011	RI	Rhode Island	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	218	22.9	19.5	26.4	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	44	EDUCA3	CAT5	_RFBING5	RESP046	(41.708280193, -71.522470314)
2013	RI	Rhode Island	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	39	12.1	8.0	16.3	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	44	EDUCA1	CAT5	_RFBING5	RESP046	(41.708280193, -71.522470314)
2012	NJ	New Jersey	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	109	15.3	11.9	18.6	2366	%	Crude Prevalence			BRFSS	CLASS01	Topic07	34	EDUCA1	CAT5	_RFBING5	RESP046	(40.130570048, -74.273691288)
2011	SC	South Carolina	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	348	15.3	13.3	17.4	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	45	EDUCA3	CAT5	_RFBING5	RESP046	(33.998821303, -81.045371207)
2011	IN	Indiana	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	72	15.7	11.8	19.6	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	18	EDUCA1	CAT5	_RFBING5	RESP046	(39.766910452, -86.149960194)
2011	VA	Virginia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	42	12.7	8.5	17.0	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	51	EDUCA1	CAT5	_RFBING5	RESP046	(37.542680674, -78.457890463)
2013	TN	Tennessee	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	18	5.3	2.5	8.2	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	47	EDUCA1	CAT5	_RFBING5	RESP046	(35.68094058, -85.774490914)
2012	MN	Minnesota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	76	18.2	13.7	22.7	2363	%	Crude Prevalence			BRFSS	CLASS01	Topic07	27	EDUCA1	CAT5	_RFBING5	RESP046	(46.355648736, -94.794200503)
2012	DC	District of Columbia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	58	18.6	12.9	24.3	2344	%	Crude Prevalence			BRFSS	CLASS01	Topic07	11	EDUCA3	CAT5	_RFBING5	RESP046	(38.890371385, -77.031961127)
2012	MI	Michigan	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	409	18.9	16.9	20.9	2364	%	Crude Prevalence			BRFSS	CLASS01	Topic07	26	EDUCA2	CAT5	_RFBING5	RESP046	(44.661319543001, -84.71439027)
