"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2003"	"2003"	23	631308	3.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2004"	"2004"	26	650582	4.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2005"	"2005"	16	666782	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2006"	"2006"	25	680073	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2007"	"2007"	31	688527	4.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2008"	"2008"	26	696605	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2009"	"2009"	25	708322	3.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2010"	"2010"	36	716442	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2011"	"2011"	31	736002	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2012"	"2012"	30	770646	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2013"	"2013"	31	799179	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2014"	"2014"	33	830874	4.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2015"	"2015"	50	860017	5.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2016"	"2016"	40	868686	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2017"	"2017"	33	898568	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2018"	"2018"	50	915766	5.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"1999"	"1999"	17	499670	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2000"	"2000"	16	511721	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2001"	"2001"	11	532921	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2002"	"2002"	16	548991	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2003"	"2003"	17	565346	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2004"	"2004"	24	585145	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2005"	"2005"	21	614038	3.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2006"	"2006"	19	645210	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2007"	"2007"	28	680256	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2008"	"2008"	27	706516	3.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2009"	"2009"	36	725394	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2010"	"2010"	30	736014	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2011"	"2011"	38	740718	5.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2012"	"2012"	32	751696	4.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2013"	"2013"	28	760403	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2014"	"2014"	32	784639	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2015"	"2015"	27	813291	3.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2016"	"2016"	30	826672	3.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2017"	"2017"	36	866524	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"2018"	"2018"	37	893205	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"1999"	"1999"	15	471192	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2000"	"2000"	14	484384	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2001"	"2001"	14	502915	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2002"	"2002"	20	517274	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2003"	"2003"	16	536631	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2004"	"2004"	26	557421	4.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2005"	"2005"	21	571872	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2006"	"2006"	20	588556	3.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2007"	"2007"	30	603236	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2008"	"2008"	23	618948	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2009"	"2009"	19	637956	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2010"	"2010"	32	657970	4.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2011"	"2011"	21	691663	3.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2012"	"2012"	30	730929	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2013"	"2013"	32	757749	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2014"	"2014"	36	785655	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2015"	"2015"	37	804171	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2016"	"2016"	26	803102	3.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2017"	"2017"	35	820470	4.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"2018"	"2018"	32	822093	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"1999"	"1999"	20	418230	4.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2000"	"2000"	14	434249	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2001"	"2001"	22	460454	4.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2002"	"2002"	13	480709	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2003"	"2003"	25	499611	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2004"	"2004"	18	515758	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2005"	"2005"	24	534097	4.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2006"	"2006"	30	548292	5.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2007"	"2007"	22	562994	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2008"	"2008"	17	583134	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2009"	"2009"	37	605099	6.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2010"	"2010"	26	615869	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2011"	"2011"	28	627281	4.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2012"	"2012"	26	641599	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2013"	"2013"	24	654112	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2014"	"2014"	27	679819	4.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2015"	"2015"	47	713214	6.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2016"	"2016"	31	734739	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2017"	"2017"	41	776616	5.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"2018"	"2018"	41	792778	5.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"1999"	"1999"	10	337069	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2000"	"2000"	10	361283	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2001"	"2001"	15	397141	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2002"	"2002"	22	417869	5.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2003"	"2003"	17	437347	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2004"	"2004"	25	455364	5.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2005"	"2005"	14	472336	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2006"	"2006"	16	495382	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2007"	"2007"	19	516451	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2008"	"2008"	33	536415	6.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2009"	"2009"	25	553434	4.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2010"	"2010"	32	566927	5.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2011"	"2011"	29	577376	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2012"	"2012"	32	590264	5.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2013"	"2013"	31	609582	5.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2014"	"2014"	40	638850	6.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2015"	"2015"	29	654043	4.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2016"	"2016"	37	660590	5.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2017"	"2017"	28	677715	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"2018"	"2018"	35	678804	5.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"1999"	"1999"	7	233434	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2000"	"2000"	11	247103	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2001"	"2001"	12	270413	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2002"	"2002"	11	296606	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2003"	"2003"	15	326688	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2004"	"2004"	9	358016	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2005"	"2005"	14	393965	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2006"	"2006"	15	422635	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2007"	"2007"	15	443546	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2008"	"2008"	11	463560	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2009"	"2009"	15	481752	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2010"	"2010"	19	494181	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2011"	"2011"	23	518064	4.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2012"	"2012"	20	539910	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2013"	"2013"	19	559480	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2014"	"2014"	24	580942	4.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2015"	"2015"	30	601515	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2016"	"2016"	20	605533	3.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2017"	"2017"	24	623050	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"2018"	"2018"	35	633422	5.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"1999"	"1999"	9	186983	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2000"	"2000"	5	195482	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2001"	"2001"	3	209826	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2002"	"2002"	9	223323	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2003"	"2003"	6	236483	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2004"	"2004"	19	252754	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2005"	"2005"	11	269425	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2006"	"2006"	12	287849	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2007"	"2007"	16	313885	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2008"	"2008"	10	344050	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2009"	"2009"	19	375300	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2010"	"2010"	24	403199	6.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2011"	"2011"	19	436322	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2012"	"2012"	18	457090	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2013"	"2013"	17	476790	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2014"	"2014"	13	500512	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2015"	"2015"	27	522369	5.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2016"	"2016"	28	539301	5.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2017"	"2017"	17	566149	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"2018"	"2018"	22	579405	3.8
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"1999"	"1999"	29	1358176	2.1
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2000"	"2000"	40	1345107	3.0
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2001"	"2001"	31	1304639	2.4
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2002"	"2002"	27	1293736	2.1
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2003"	"2003"	29	1295263	2.2
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2004"	"2004"	40	1324683	3.0
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2005"	"2005"	42	1363164	3.1
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2006"	"2006"	29	1406128	2.1
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2007"	"2007"	39	1434645	2.7
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2008"	"2008"	46	1454865	3.2
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2009"	"2009"	52	1459525	3.6
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2010"	"2010"	43	1454543	3.0
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2011"	"2011"	50	1465672	3.4
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2012"	"2012"	41	1482708	2.8
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2013"	"2013"	49	1510526	3.2
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2014"	"2014"	40	1571068	2.5
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2015"	"2015"	56	1639497	3.4
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2016"	"2016"	64	1707945	3.7
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2017"	"2017"	73	1773228	4.1
	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	95	1811064	5.2
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"1999"	"1999"	36	1393840	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2000"	"2000"	32	1384892	2.3
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2001"	"2001"	35	1388476	2.5
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2002"	"2002"	29	1393457	2.1
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2003"	"2003"	45	1388044	3.2
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2004"	"2004"	50	1376595	3.6
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2005"	"2005"	38	1350939	2.8
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2006"	"2006"	23	1320401	1.7
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2007"	"2007"	33	1313374	2.5
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2008"	"2008"	32	1320241	2.4
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2009"	"2009"	35	1353009	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2010"	"2010"	26	1384808	1.9
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2011"	"2011"	52	1424682	3.6
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2012"	"2012"	38	1450157	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2013"	"2013"	41	1470609	2.8
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2014"	"2014"	47	1484560	3.2
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2015"	"2015"	42	1487728	2.8
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2016"	"2016"	62	1498513	4.1
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2017"	"2017"	68	1519870	4.5
	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	74	1549097	4.8
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"1999"	"1999"	29	1507328	1.9
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2000"	"2000"	33	1505402	2.2
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2001"	"2001"	39	1491812	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2002"	"2002"	38	1467701	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2003"	"2003"	38	1440844	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2004"	"2004"	39	1408319	2.8
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2005"	"2005"	41	1396992	2.9
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2006"	"2006"	32	1405559	2.3
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2007"	"2007"	45	1413720	3.2
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2008"	"2008"	31	1412276	2.2
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2009"	"2009"	33	1403007	2.4
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2010"	"2010"	47	1384151	3.4
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2011"	"2011"	32	1344610	2.4
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2012"	"2012"	45	1338520	3.4
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2013"	"2013"	26	1344139	1.9
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2014"	"2014"	40	1374316	2.9
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2015"	"2015"	37	1413525	2.6
	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2016"	"2016"	52	1445255	3.6
