"Notes"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	2	14522228	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2015"	"2015"	1	14242059	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2016"	"2016"	4	13942468	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2017"	"2017"	6	13577849	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	3	13153739	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	3	14112467	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	3	14446309	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	7	14981593	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	5	15057598	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2003"	"2003"	5	15250861	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2004"	"2004"	7	15435849	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	4	15632708	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2006"	"2006"	5	15803164	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2007"	"2007"	2	15902406	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2008"	"2008"	5	15937153	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2009"	"2009"	3	15919221	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2010"	"2010"	5	15839099	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2011"	"2011"	4	15535056	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2012"	"2012"	5	15207982	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2013"	"2013"	4	14843650	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2014"	"2014"	1	14522228	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2016"	"2016"	1	13942468	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2017"	"2017"	2	13577849	Unreliable
	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2018"	"2018"	1	13153739	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2000"	"2000"	3	14446309	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2001"	"2001"	5	14981593	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2002"	"2002"	1	15057598	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2003"	"2003"	1	15250861	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2004"	"2004"	1	15435849	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2005"	"2005"	2	15632708	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2006"	"2006"	3	15803164	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2007"	"2007"	2	15902406	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2008"	"2008"	2	15937153	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2009"	"2009"	4	15919221	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2010"	"2010"	1	15839099	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2011"	"2011"	3	15535056	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2012"	"2012"	2	15207982	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2013"	"2013"	2	14843650	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2014"	"2014"	1	14522228	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2015"	"2015"	1	14242059	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2016"	"2016"	3	13942468	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2017"	"2017"	4	13577849	Unreliable
	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2018"	"2018"	2	13153739	Unreliable
	"Female"	"F"	"#Whooping cough (A37)"	"GR113-007"	"2007"	"2007"	1	15902406	Unreliable
	"Female"	"F"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2000"	"2000"	1	14446309	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"1999"	"1999"	9	14112467	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2000"	"2000"	12	14446309	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2001"	"2001"	5	14981593	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2002"	"2002"	7	15057598	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2003"	"2003"	4	15250861	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2004"	"2004"	2	15435849	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2005"	"2005"	6	15632708	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2006"	"2006"	2	15803164	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2007"	"2007"	2	15902406	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2008"	"2008"	3	15937153	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2009"	"2009"	2	15919221	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2010"	"2010"	3	15839099	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2011"	"2011"	1	15535056	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2012"	"2012"	3	15207982	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2013"	"2013"	2	14843650	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2015"	"2015"	3	14242059	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2016"	"2016"	1	13942468	Unreliable
	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	"2018"	"2018"	2	13153739	Unreliable
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	464	14112467	3.3
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2000"	"2000"	479	14446309	3.3
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2001"	"2001"	566	14981593	3.8
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2002"	"2002"	594	15057598	3.9
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2003"	"2003"	597	15250861	3.9
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2004"	"2004"	635	15435849	4.1
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	634	15632708	4.1
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2006"	"2006"	591	15803164	3.7
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2007"	"2007"	683	15902406	4.3
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2008"	"2008"	719	15937153	4.5
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	691	15919221	4.3
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	669	15839099	4.2
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	711	15535056	4.6
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	680	15207982	4.5
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	694	14843650	4.7
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	749	14522228	5.2
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	755	14242059	5.3
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	700	13942468	5.0
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	681	13577849	5.0
	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	672	13153739	5.1
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"1999"	"1999"	1	14112467	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2000"	"2000"	1	14446309	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2004"	"2004"	1	15435849	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2009"	"2009"	1	15919221	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2011"	"2011"	1	15535056	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2012"	"2012"	1	15207982	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2013"	"2013"	1	14843650	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2015"	"2015"	1	14242059	Unreliable
	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	"2017"	"2017"	1	13577849	Unreliable
	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2001"	"2001"	1	14981593	Unreliable
	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2010"	"2010"	2	15839099	Unreliable
	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2014"	"2014"	1	14522228	Unreliable
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"1999"	"1999"	241	14112467	1.7
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2000"	"2000"	285	14446309	2.0
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2001"	"2001"	302	14981593	2.0
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2002"	"2002"	378	15057598	2.5
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2003"	"2003"	404	15250861	2.6
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2004"	"2004"	385	15435849	2.5
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2005"	"2005"	415	15632708	2.7
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2006"	"2006"	541	15803164	3.4
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2007"	"2007"	561	15902406	3.5
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2008"	"2008"	539	15937153	3.4
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2009"	"2009"	529	15919221	3.3
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2010"	"2010"	508	15839099	3.2
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	470	15535056	3.0
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2012"	"2012"	411	15207982	2.7
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2013"	"2013"	381	14843650	2.6
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2014"	"2014"	390	14522228	2.7
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2015"	"2015"	327	14242059	2.3
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2016"	"2016"	266	13942468	1.9
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2017"	"2017"	227	13577849	1.7
	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2018"	"2018"	172	13153739	1.3
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"1999"	"1999"	150	14112467	1.1
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2000"	"2000"	164	14446309	1.1
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2001"	"2001"	142	14981593	0.9
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2002"	"2002"	183	15057598	1.2
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2003"	"2003"	188	15250861	1.2
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2004"	"2004"	199	15435849	1.3
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2005"	"2005"	231	15632708	1.5
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2006"	"2006"	202	15803164	1.3
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2007"	"2007"	217	15902406	1.4
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2008"	"2008"	214	15937153	1.3
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2009"	"2009"	170	15919221	1.1
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2010"	"2010"	148	15839099	0.9
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2011"	"2011"	146	15535056	0.9
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2012"	"2012"	139	15207982	0.9
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2013"	"2013"	146	14843650	1.0
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2014"	"2014"	124	14522228	0.9
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2015"	"2015"	103	14242059	0.7
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2016"	"2016"	100	13942468	0.7
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2017"	"2017"	97	13577849	0.7
	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2018"	"2018"	90	13153739	0.7
	"Female"	"F"	"#Malaria (B50-B54)"	"GR113-017"	"2001"	"2001"	1	14981593	Unreliable
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"1999"	"1999"	206	14112467	1.5
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2000"	"2000"	144	14446309	1.0
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2001"	"2001"	154	14981593	1.0
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2002"	"2002"	184	15057598	1.2
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2003"	"2003"	261	15250861	1.7
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2004"	"2004"	274	15435849	1.8
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2005"	"2005"	269	15632708	1.7
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2006"	"2006"	147	15803164	0.9
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2007"	"2007"	118	15902406	0.7
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2008"	"2008"	152	15937153	1.0
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2009"	"2009"	142	15919221	0.9
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2010"	"2010"	125	15839099	0.8
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2011"	"2011"	115	15535056	0.7
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2012"	"2012"	122	15207982	0.8
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2013"	"2013"	130	14843650	0.9
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2014"	"2014"	138	14522228	1.0
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2015"	"2015"	135	14242059	0.9
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2016"	"2016"	131	13942468	0.9
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2017"	"2017"	145	13577849	1.1
	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2018"	"2018"	130	13153739	1.0
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1999"	"1999"	17356	14112467	123.0
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2000"	"2000"	17769	14446309	123.0
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2001"	"2001"	18157	14981593	121.2
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2002"	"2002"	17910	15057598	118.9
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2003"	"2003"	17567	15250861	115.2
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2004"	"2004"	17460	15435849	113.1
	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2005"	"2005"	17859	15632708	114.2
