"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2010"	"2010"	27	144485	18.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2011"	"2011"	29	142668	20.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2012"	"2012"	36	149700	24.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2013"	"2013"	33	149555	22.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2014"	"2014"	27	155847	17.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2015"	"2015"	31	166568	18.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2016"	"2016"	24	173744	13.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2017"	"2017"	38	180312	21.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2018"	"2018"	45	181668	24.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"1999"	"1999"	33	110213	29.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2000"	"2000"	25	112572	22.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2001"	"2001"	37	118295	31.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2002"	"2002"	24	120201	20.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2003"	"2003"	34	127010	26.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2004"	"2004"	27	125886	21.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2005"	"2005"	34	128845	26.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2006"	"2006"	30	132699	22.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2007"	"2007"	27	139237	19.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2008"	"2008"	49	145723	33.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2009"	"2009"	37	148172	25.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2010"	"2010"	44	147174	29.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2011"	"2011"	26	148383	17.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2012"	"2012"	41	151435	27.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2013"	"2013"	28	155940	18.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2014"	"2014"	34	158937	21.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2015"	"2015"	40	165205	24.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2016"	"2016"	50	171134	29.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2017"	"2017"	50	182477	27.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"28 years"	"28"	"2018"	"2018"	36	187033	19.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"1999"	"1999"	26	109267	23.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2000"	"2000"	17	113948	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2001"	"2001"	34	120026	28.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2002"	"2002"	27	122764	22.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2003"	"2003"	31	123660	25.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2004"	"2004"	36	129499	27.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2005"	"2005"	38	128107	29.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2006"	"2006"	27	130284	20.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2007"	"2007"	32	132994	24.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2008"	"2008"	42	138451	30.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2009"	"2009"	39	143609	27.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2010"	"2010"	33	145554	22.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2011"	"2011"	30	151909	19.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2012"	"2012"	30	156109	19.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2013"	"2013"	36	156847	23.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2014"	"2014"	45	164330	27.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2015"	"2015"	33	167532	19.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2016"	"2016"	40	169051	23.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2017"	"2017"	39	179495	21.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"29 years"	"29"	"2018"	"2018"	58	188143	30.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"1999"	"1999"	38	110568	34.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2000"	"2000"	28	115419	24.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2001"	"2001"	41	119198	34.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2002"	"2002"	38	125492	30.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2003"	"2003"	41	128248	32.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2004"	"2004"	36	129330	27.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2005"	"2005"	41	135941	30.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2006"	"2006"	25	134785	18.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2007"	"2007"	36	137073	26.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2008"	"2008"	40	140057	28.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2009"	"2009"	25	145712	17.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2010"	"2010"	44	150002	29.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2011"	"2011"	49	149158	32.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2012"	"2012"	42	158669	26.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2013"	"2013"	44	160891	27.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2014"	"2014"	41	164302	25.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2015"	"2015"	57	172078	33.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2016"	"2016"	53	170824	31.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2017"	"2017"	44	177309	24.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30 years"	"30"	"2018"	"2018"	50	184357	27.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"1999"	"1999"	32	103310	31.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2000"	"2000"	39	108939	35.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2001"	"2001"	45	121201	37.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2002"	"2002"	37	122376	30.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2003"	"2003"	43	127744	33.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2004"	"2004"	33	129707	25.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2005"	"2005"	47	130364	36.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2006"	"2006"	49	136175	36.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2007"	"2007"	36	134118	26.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2008"	"2008"	43	135504	31.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2009"	"2009"	36	137429	26.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2010"	"2010"	39	140980	27.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2011"	"2011"	40	153303	26.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2012"	"2012"	39	154919	25.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2013"	"2013"	48	162669	29.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2014"	"2014"	34	167284	20.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2015"	"2015"	49	171188	28.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2016"	"2016"	44	174697	25.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2017"	"2017"	50	178296	28.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"31 years"	"31"	"2018"	"2018"	48	181233	26.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"1999"	"1999"	41	100979	40.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2000"	"2000"	35	104851	33.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2001"	"2001"	40	114668	34.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2002"	"2002"	45	125133	36.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2003"	"2003"	28	126114	22.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2004"	"2004"	39	131502	29.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2005"	"2005"	32	133867	23.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2006"	"2006"	40	134651	29.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2007"	"2007"	44	140331	31.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2008"	"2008"	46	138210	33.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2009"	"2009"	35	139422	25.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2010"	"2010"	47	140375	33.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2011"	"2011"	38	146378	26.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2012"	"2012"	49	158512	30.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2013"	"2013"	44	158622	27.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2014"	"2014"	59	168412	35.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2015"	"2015"	49	173717	28.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2016"	"2016"	73	173148	42.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2017"	"2017"	51	181594	28.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"32 years"	"32"	"2018"	"2018"	55	181779	30.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"1999"	"1999"	32	97341	32.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2000"	"2000"	32	98470	32.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2001"	"2001"	32	110849	28.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2002"	"2002"	37	118101	31.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2003"	"2003"	50	128274	39.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2004"	"2004"	34	129138	26.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2005"	"2005"	40	134710	29.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2006"	"2006"	45	137022	32.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2007"	"2007"	31	137495	22.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2008"	"2008"	44	143003	30.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2009"	"2009"	39	140625	27.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2010"	"2010"	44	141600	31.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2011"	"2011"	44	142920	30.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2012"	"2012"	37	151180	24.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2013"	"2013"	49	162188	30.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2014"	"2014"	40	163786	24.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2015"	"2015"	57	174148	32.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2016"	"2016"	54	174943	30.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2017"	"2017"	55	179920	30.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"33 years"	"33"	"2018"	"2018"	70	185076	37.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"1999"	"1999"	41	101199	40.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2000"	"2000"	48	102499	46.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2001"	"2001"	37	103180	35.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2002"	"2002"	39	113949	34.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2003"	"2003"	48	120928	39.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2004"	"2004"	51	130905	39.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2005"	"2005"	44	131900	33.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2006"	"2006"	53	137440	38.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2007"	"2007"	52	139510	37.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2008"	"2008"	50	139831	35.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2009"	"2009"	52	145134	35.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2010"	"2010"	52	143485	36.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2011"	"2011"	48	144243	33.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2012"	"2012"	42	147366	28.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2013"	"2013"	54	154809	34.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2014"	"2014"	56	167090	33.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2015"	"2015"	58	168886	34.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2016"	"2016"	58	175074	33.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2017"	"2017"	84	181449	46.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"34 years"	"34"	"2018"	"2018"	66	183321	36.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"1999"	"1999"	46	104236	44.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2000"	"2000"	42	105713	39.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2001"	"2001"	37	105012	35.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2002"	"2002"	34	106233	32.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2003"	"2003"	47	116858	40.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2004"	"2004"	35	123794	28.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2005"	"2005"	50	134104	37.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2006"	"2006"	46	135202	34.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2007"	"2007"	40	140644	28.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2008"	"2008"	51	142704	35.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2009"	"2009"	52	142947	36.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2010"	"2010"	53	147736	35.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2011"	"2011"	44	144035	30.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2012"	"2012"	42	148367	28.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2013"	"2013"	57	150710	37.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2014"	"2014"	73	159578	45.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2015"	"2015"	68	171710	39.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2016"	"2016"	59	169699	34.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2017"	"2017"	66	181008	36.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35 years"	"35"	"2018"	"2018"	60	184405	32.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"1999"	"1999"	41	103312	39.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2000"	"2000"	46	105620	43.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2001"	"2001"	49	108798	45.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2002"	"2002"	45	108013	41.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2003"	"2003"	52	109116	47.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2004"	"2004"	50	119818	41.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2005"	"2005"	53	127102	41.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2006"	"2006"	55	137636	40.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2007"	"2007"	52	138669	37.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"36 years"	"36"	"2008"	"2008"	48	144235	33.3
